villes_id,Villes,latitude,longitude,meteo_today,temp_today°C,forecast_temp_moyenne°C,proba_precipitation_moyenne%,Meteo_probable
0,Mont Saint Michel,48.6355232,-1.5102571,Clear,13.46,16.0,64.0,Rain
1,St Malo,48.649518,-2.0260409,Mist,13.24,15.0,72.0,Rain
2,Bayeux,49.2764624,-0.7024738,Clear,10.18,15.0,63.0,Rain
3,Le Havre,49.4938975,0.1079732,Clear,12.25,15.0,63.0,Rain
4,Rouen,49.4404591,1.0939658,Clear,10.01,15.0,66.0,Rain
5,Paris,48.8566969,2.3514616,Clear,10.51,16.0,47.0,Rain
6,Amiens,49.8941708,2.2956951,Clouds,8.37,15.0,59.0,Rain
7,Lille,50.6365654,3.0635282,Clear,9.65,14.0,60.0,Rain
8,Strasbourg,48.584614,7.7507127,Clouds,6.55,13.0,49.0,Rain
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,Clouds,4.66,11.0,47.0,Rain
10,Colmar,48.0777517,7.3579641,Clouds,7.85,14.0,46.0,Rain
11,Eguisheim,48.0447968,7.3079618,Clouds,7.84,14.0,46.0,Rain
12,Besancon,47.2380222,6.0243622,Clouds,7.66,14.0,45.0,Clouds
13,Dijon,47.3215806,5.0414701,Clouds,7.88,14.0,38.0,Clouds
14,Annecy,45.8992348,6.1288847,Clear,8.03,14.0,41.0,Rain
15,Grenoble,45.1875602,5.7357819,Clouds,11.35,17.0,35.0,Rain
16,Lyon,45.7578137,4.8320114,Clouds,9.75,15.0,34.0,Rain
17,Bormes les Mimosas,43.1506968,6.3419285,Clear,12.33,19.0,25.0,Clouds
18,Cassis,43.2140359,5.5396318,Clear,15.4,18.0,21.0,Clouds
19,Marseille,43.2961743,5.3699525,Clear,15.09,18.0,21.0,Clouds
20,Aix en Provence,43.5298424,5.4474738,Clear,12.93,18.0,26.0,Clouds
21,Avignon,43.9492493,4.8059012,Clear,11.17,17.0,25.0,Clear
22,Uzès,44.0121279,4.4196718,Clouds,10.96,17.0,25.0,Clouds
23,Nímes,43.8374249,4.3600687,Clear,11.96,18.0,22.0,Clouds
24,Aigues Mortes,43.5658225,4.1912837,Clouds,12.8,18.0,21.0,Clouds
25,Saintes Maries de la mer,43.4522771,4.4287172,Clouds,12.54,18.0,19.0,Clear
26,Collioure,42.52505,3.0831554,Clouds,17.44,19.0,15.0,Clear
27,Carcassonne,43.2130358,2.3491069,Clear,12.83,17.0,26.0,Clouds
28,Toulouse,43.6044622,1.4442469,Clear,13.55,17.0,34.0,Clouds
29,Montauban,44.0175835,1.3549991,Clouds,13.7,17.0,39.0,Clouds
30,Biarritz,43.4832523,-1.5592776,Clouds,18.18,19.0,38.0,Clouds
31,Bayonne,43.4933379,-1.475099,Clouds,17.88,19.0,37.0,Clouds
32,La Rochelle,46.1591126,-1.1520434,Clear,14.5,16.0,25.0,Clouds
